fw,gl,gt,il,iw,mt,pl,pw,sl,sw,tt,freq,s11,gain
1,30,2,2,1,3,28.5,30,35,40,0.5,18,-8.988237635,8.557757566
1,30,2,2,1,3,28,33.5,35,40,0.5,18,-11.96784603,8.480405619
1,30,2,2,1,3,28,33,35,40,0.5,18,-11.97001479,8.594801721
1,30,2,2,1,3,28,32.5,35,40,0.5,18,-12.001219,8.597239755
1,30,2,2,1,3,28,32,35,40,0.5,18,-11.83910818,8.784433185
1,30,2,2,1,3,28,31.5,35,40,0.5,18,-11.66268811,8.80308119
1,30,2,2,1,3,28,31,35,40,0.5,18,-11.83925953,8.760379403
1,30,2,2,1,3,28,30.5,35,40,0.5,18,-12.11709234,8.689484467
1,30,2,2,1,3,28,30,35,40,0.5,18,-12.52121532,8.521779383
1,30,2,2,1,3,27.5,33.5,35,40,0.5,18,-15.32977815,8.380754014
1,30,2,2,1,3,27.5,33,35,40,0.5,18,-15.54980393,8.525327465
1,30,2,2,1,3,27.5,32.5,35,40,0.5,18,-15.43331568,8.465493414
1,30,2,2,1,3,27.5,32,35,40,0.5,18,-15.28434114,8.746497876
1,30,2,2,1,3,27.5,31.5,35,40,0.5,18,-15.81179868,8.354912105
1,30,2,2,1,3,27.5,31,35,40,0.5,16.29,-17.94444834,8.656599789
1,30,2,2,1,3,27.5,30.5,35,40,0.5,18,-16.80325028,8.463245081
1,30,2,2,1,3,27.5,30,35,40,0.5,18,-17.31549414,8.493615508
1,30,2,2,1,3,27,33.5,35,40,0.5,16.194,-20.92109637,8.483304093
1,30,2,2,1,3,27,33,35,40,0.5,16.308,-22.47842167,8.645801004
1,30,2,2,1,3,27,32.5,35,40,0.5,16.416,-23.62728045,8.629396478
1,30,2,2,1,3,27,32,35,40,0.5,16.476,-24.40298192,8.363260435
1,30,2,2,1,3,27,31.5,35,40,0.5,16.494,-26.07156369,8.613288605
1,30,2,2,1,3,27,31,35,40,0.5,16.506,-26.27079625,8.095949984
1,30,2,2,1,3,27,30.5,35,40,0.5,16.506,-27.23286832,8.126853646
1,30,2,2,1,3,27,30,35,40,0.5,16.59,-29.67055596,8.196243786
1,30,2,2,0.85,3,30.5,33.5,35,40,0.5,12.456,-7.863034479,7.09738549
1,30,2,2,0.85,3,30.5,33,35,40,0.5,16.992,-9.858621253,6.756713084
1,30,2,2,0.85,3,30.5,32.5,35,40,0.5,12.036,-9.003967257,7.730903528
1,30,2,2,0.85,3,30.5,32,35,40,0.5,12.078,-9.753314281,7.716462742
1,30,2,2,0.85,3,30.5,31.5,35,40,0.5,12.132,-10.20862216,7.752605527
1,30,2,2,0.85,3,30.5,31,35,40,0.5,12.09,-11.0204686,7.880168102
