fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,1.8,2,2,2,30,31,35,40,0.7,12.708,-6.946922196,9.250654027
1,30,1.8,2,2,1.5,30,31,35,40,0.7,12.858,-7.425039479,9.354418907
1,30,1.8,2,2,3,30,31,35,40,0.1,18,-6.820975002,8.50135366
1,30,1.8,2,2,2.5,30,31,35,40,0.1,16.686,-6.270658971,8.380230896
1,30,1.8,2,2,2,30,31,35,40,0.1,17.658,-6.540089793,7.32818425
1,30,1.8,2,2,1.5,30,31,35,40,0.1,18,-8.815726221,7.453574675
1,30,1.4,2,2,3,30,31,35,40,2,12.162,-11.57935811,7.48198263
1,30,1.4,2,2,2.5,30,31,35,40,2,12.444,-11.63468987,7.115841875
1,30,1.4,2,2,2,30,31,35,40,2,12.66,-11.6165056,8.429129352
1,30,1.4,2,2,1.5,30,31,35,40,2,12.864,-11.32814483,9.01191221
1,30,1.4,2,2,3,30,31,35,40,1.3,12.21,-9.208758938,7.4450118
1,30,1.4,2,2,2.5,30,31,35,40,1.3,12.492,-9.012162869,7.753049652
1,30,1.4,2,2,2,30,31,35,40,1.3,12.69,-8.97039512,8.860186134
1,30,1.4,2,2,1.5,30,31,35,40,1.3,12.852,-8.998010799,9.239251361
1,30,1.4,2,2,3,30,31,35,40,0.7,12.234,-7.052123468,7.529251342
1,30,1.4,2,2,2.5,30,31,35,40,0.7,12.522,-6.764094926,8.518975524
1,30,1.4,2,2,2,30,31,35,40,0.7,12.72,-6.864053096,9.235901855
1,30,1.4,2,2,1.5,30,31,35,40,0.7,12.876,-7.384931414,9.313808127
1,30,1.4,2,2,3,30,31,35,40,0.1,18,-6.829899987,8.530239967
1,30,1.4,2,2,2.5,30,31,35,40,0.1,16.722,-6.311219666,8.304194532
1,30,1.4,2,2,2,30,31,35,40,0.1,17.508,-6.502281406,7.397286995
1,30,1.4,2,2,1.5,30,31,35,40,0.1,18,-8.935739569,7.566959215
1,30,1,2,2,3,30,31,35,40,2,12.168,-11.66192812,7.385961911
1,30,1,2,2,2.5,30,31,35,40,2,12.456,-11.67581327,7.14623376
1,30,1,2,2,2,30,31,35,40,2,12.66,-11.72307495,8.48442231
1,30,1,2,2,1.5,30,31,35,40,2,12.906,-10.94835811,9.058239975
1,30,1,2,2,3,30,31,35,40,1.3,12.216,-9.260814296,7.461868055
1,30,1,2,2,2.5,30,31,35,40,1.3,12.48,-8.834679026,7.833355348
1,30,1,2,2,2,30,31,35,40,1.3,12.702,-8.847697133,8.946890543
1,30,1,2,2,1.5,30,31,35,40,1.3,12.906,-8.614849412,9.187186963
1,30,1,2,2,3,30,31,35,40,0.7,12.24,-7.006477503,7.474594891
1,30,1,2,2,2.5,30,31,35,40,0.7,12.528,-6.836017202,8.426691247
1,30,1,2,2,2,30,31,35,40,0.7,12.732,-6.750683043,9.295210219
1,30,1,2,2,1.5,30,31,35,40,0.7,12.87,-7.289871326,9.392404802
1,30,1,2,2,3,30,31,35,40,0.1,18,-6.932579199,8.386883953
1,30,1,2,2,2.5,30,31,35,40,0.1,16.578,-6.28863411,8.391995338
1,30,1,2,2,2,30,31,35,40,0.1,17.514,-6.708657804,7.298008488
1,30,1,2,2,1.5,30,31,35,40,0.1,18,-8.86480447,7.83002256
1,30,2,2,2,3,30,30.5,35,40,2,12.192,-11.38854381,7.582485293
1,30,2,2,2,2.5,30,30.5,35,40,2,12.48,-11.61554158,7.407813052
1,30,2,2,2,2,30,30.5,35,40,2,12.696,-11.92273336,8.607451072
1,30,2,2,2,1.5,30,30.5,35,40,2,12.924,-12.18853602,8.904769659
1,30,2,2,2,3,30,30.5,35,40,1.3,12.246,-9.288155515,7.712025399
1,30,2,2,2,2.5,30,30.5,35,40,1.3,12.534,-9.224496537,8.191756032
1,30,2,2,2,2,30,30.5,35,40,1.3,12.75,-9.420570957,9.007722488
1,30,2,2,2,1.5,30,30.5,35,40,1.3,12.972,-9.867680391,9.005866052
1,30,2,2,2,3,30,30.5,35,40,0.7,12.288,-7.030183238,7.786054487
1,30,2,2,2,2.5,30,30.5,35,40,0.7,12.552,-6.866957861,8.845728089
1,30,2,2,2,2,30,30.5,35,40,0.7,12.762,-7.524480945,9.31133074
1,30,2,2,2,1.5,30,30.5,35,40,0.7,12.936,-8.772610952,9.220162626
1,30,2,2,2,3,30,30.5,35,40,0.1,18,-6.816542179,8.552262498
1,30,2,2,2,2.5,30,30.5,35,40,0.1,16.662,-6.241441991,8.227759333
1,30,2,2,2,2,30,30.5,35,40,0.1,18,-6.405950239,7.213980149
1,30,2,2,2,1.5,30,30.5,35,40,0.1,18,-7.698564463,6.814395189
