fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain,bandwidth
1,30,2.4,1.6,1,1.2,28,32,30,40,0.9,12.378,-25.44493347,9.491359795,0.215431892
1,30,2.4,1.6,1,1,28,32,30,40,0.9,12.522,-26.15522097,8.995059049,0.216569232
1,30,2.4,1.6,1,3.2,28,32,30,40,0.7,13.68,-42.79815888,8.193873383,0.537313709
1,30,2.4,1.6,1,3,28,32,30,40,0.7,13.704,-37.82036068,8.573628076,0.467945583
1,30,2.4,1.6,1,2.8,28,32,30,40,0.7,13.722,-35.32531023,8.775643929,0.429756298
1,30,2.4,1.6,1,2.6,28,32,30,40,0.7,13.734,-39.49926777,8.860727837,0.404431193
1,30,2.4,1.6,1,2.4,28,32,30,40,0.7,13.77,-39.15620122,8.867030674,0.377623295
1,30,2.4,1.6,1,2.2,28,32,30,40,0.7,13.776,-37.50529205,8.906761421,0.361839921
1,30,2.4,1.6,1,2,28,32,30,40,0.7,13.8,-29.59449524,8.76195109,0.331082328
1,30,2.4,1.6,1,1.8,28,32,30,40,0.7,13.824,-24.09572219,8.535209961,0.304081235
1,30,2.4,1.6,1,1.6,28,32,30,40,0.7,13.83,-21.3683748,8.354647344,0.272692601
1,30,2.4,1.6,1,1.4,28,32,30,40,0.7,13.848,-18.80558416,8.280156704,0.247419797
1,30,2.4,1.6,1,1.2,28,32,30,40,0.7,12.45,-22.55176014,9.258319431,0.213781339
1,30,2.4,1.6,1,1,28,32,30,40,0.7,12.546,-26.63758871,9.077120614,0.213777227
1,30,2.4,1.6,1,3.2,28,32,30,40,0.5,13.686,-35.38173192,8.549523699,0.493551169
1,30,2.4,1.6,1,3,28,32,30,40,0.5,13.71,-41.43541843,8.769429886,0.448815078
1,30,2.4,1.6,1,2.8,28,32,30,40,0.5,13.734,-41.40471901,8.850495998,0.414787767
1,30,2.4,1.6,1,2.6,28,32,30,40,0.5,13.752,-35.78454292,8.931355016,0.385003276
1,30,2.4,1.6,1,2.4,28,32,30,40,0.5,13.77,-28.51296951,8.942501692,0.365778595
1,30,2.4,1.6,1,2.2,28,32,30,40,0.5,13.788,-24.22387419,8.887555527,0.335960999
1,30,2.4,1.6,1,2,28,32,30,40,0.5,13.812,-21.15756524,8.742253998,0.309478342
1,30,2.4,1.6,1,1.8,28,32,30,40,0.5,13.83,-18.64365066,8.486527837,0.277349042
1,30,2.4,1.6,1,1.6,28,32,30,40,0.5,13.848,-15.9017003,8.326004861,0.237713252
1,30,2.4,1.6,1,1.4,28,32,30,40,0.5,12.33,-15.81095967,9.534227915,0.181772942
